objectid,filename,title,description,subject,location,source,type,format
coll001,yarn_white.jpg,yarn white,yarn,crafting; knitting,shelf a1,colorations,acrylic,image/jpg
coll002,yarn_assorted_colors.jpg,yarn colors,yarn,crafting; knitting,shelf a1,colorations,acrylic,image/jpg
coll003,pompoms_assorted_sizes_colors.jpg,pom poms assorted,pompoms,crafting ,shelf a1,colorations,acrylic,image/jpg
coll004,pompoms_small_black.jpg,pom poms black,pompoms,crafting,shelf a1,crafters square,acrylic,image/jpg
coll005,pompoms_small_assorted_colors.jpg,pom poms small assorted,pompoms,crafting,shelf a1,unknown,acrylic,image/jpg
coll006,cotton_balls.jpg,cotton balls,pompoms,crafting,shelf a1,pacon,cotton,image/jpg
coll007,coffee_filters.jpg,coffee filters,paper,crafting,shelf b2,unknown,paper,image/jpg
coll008,paper_cones.jpg,paper cones,paper,crafting,shelf b2,bare solo,paper,image/jpg
coll009,canvas_panel_5x7.jpg,canvas panel rectangle,canvas,art; crafting,shelf a2,mont marte,canvas over board,image/jpg
coll010,canvas_panel_4insq.jpg,canvas panel square,canvas,art; crafting,shelf a2,us art supply,canvas over board,image/jpg
coll011,glass_pebbles_1in.jpg,glass pebbles 1in,glass,crafting,shelf a2,unknown,glass,image/jpg
coll012,glass_pebbles_2in.jpg,glass pebbles 2in,glass,crafting,shelf a2,unknown,glass,image/jpg
coll013,beads_natural_wooden.jpg,beads wooden,beads,crafting,shelf a2,unknown,wood,image/jpg
coll014,beads_opaque_green_pony.jpg,beads green,beads,crafting,shelf a2,unknown,plastic,image/jpg
coll015,beads_opaque_white_pony.jpg,beads white,beads,crafting,shelf a2,westrim crafts,plastic,image/jpg
coll016,beads_opaque_black_pony.jpg,beads black,beads,crafting,shelf a2,unknown,plastic,image/jpg
coll017,beads_opaque_yellow_pony.jpg,beads yellow,beads,crafting,shelf a2,unknown,plastic,image/jpg
coll018,beads_opaque_red_pony.jpg,beads red,beads,crafting,shelf a2,unknown,plastic,image/jpg
coll019,beads_opaque_orange_pony.jpg,beads orange,beads,crafting,shelf a2,westrim crafts,plastic,image/jpg
coll020,beads_fancy_assorted_pony.jpg,beads fancy assorted,beads,crafting,shelf a2,unknown,plastic,image/jpg
